# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.reload.project.entities.ms,1778353214990000000,1778353275078000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1778353214990000000,1778353275078000000,27
workspaceModel.save.cache.to.file.ms,1778353214990000000,1778353275078000000,59
DirectByteBufferAllocator.reclaimed,1778353214990000000,1778353275078000000,48
StreamlinedBlobStorage.recordsDeleted,1778353214990000000,1778353275078000000,21
FileChannelInterruptsRetryer.totalRetriedAttempts,1778353214990000000,1778353275078000000,0
FilePageCache.pageLoads,1778353214990000000,1778353275078000000,694
MappedFileStorage.totalTimeSpentOnMappingUs,1778353214990000000,1778353275078000000,152002
FilePageCache.disposedBuffers,1778353214990000000,1778353275078000000,170
FilePageCache.pageLoadsAboveSizeThreshold,1778353214990000000,1778353275078000000,0
FilePageCache.pageHits,1778353214990000000,1778353275078000000,0
StreamlinedBlobStorage.recordsRelocated,1778353214990000000,1778353275078000000,0
StorageLockContext.competingThreads.90P,1778353214990000000,1778353275078000000,0
FilePageCache.maxRegisteredFiles,1778353214990000000,1778353275078000000,1003
StreamlinedBlobStorage.recordsAllocated,1778353214990000000,1778353275078000000,1704
FilePageCache.capacityInBytes,1778353214990000000,1778353275078000000,629145600
DirectByteBufferAllocator.disposed,1778353214990000000,1778353275078000000,122
FilePageCache.totalPageDisposalsUs,1778353214990000000,1778353275078000000,1642
FilePageCache.pageFastCacheHits,1778353214990000000,1778353275078000000,228435
MappedFileStorage.storages,1778353214990000000,1778353275078000000,17
FilePageCache.maxCacheSizeInBytes,1778353214990000000,1778353275078000000,547373056
FilePageCache.totalPageLoadsUs,1778353214990000000,1778353275078000000,382534
StorageLockContext.competingThreads.max,1778353214990000000,1778353275078000000,0
FilePageCache.uncachedFileAccess,1778353214990000000,1778353275078000000,1179
MappedFileStorage.totalPagesMapped,1778353214990000000,1778353275078000000,17
StorageLockContext.competingThreads.avg,1778353214990000000,1778353275078000000,0.0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1778353214990000000,1778353275078000000,209509
MappedFileStorage.totalBytesMapped,1778353214990000000,1778353275078000000,206831616
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1778353214990000000,1778353275078000000,0
DirectByteBufferAllocator.misses,1778353214990000000,1778353275078000000,646
DirectByteBufferAllocator.hits,1778353214990000000,1778353275078000000,48
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1778353214990000000,1778353275078000000,104642
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1778353214990000000,1778353275078000000,547373056
VFS.contentStorage.recordsStoredCompressed,1778353214990000000,1778353275078000000,16
VFS.cache.directoriesCreated,1778353214990000000,1778353275078000000,1337
VFS.rootsCount,1778353214990000000,1778353275078000000,7.0
VFS.contentStorage.recordsUncompressedSize,1778353214990000000,1778353275078000000,1508656
VFS.cache.segmentsCreated,1778353214990000000,1778353275078000000,25
VFS.fileChildByName,1778353214990000000,1778353275078000000,130094
VFS.cache.filesCreated,1778353214990000000,1778353275078000000,609355
VFS.contentStorage.recordsStoredSize,1778353214990000000,1778353275078000000,638781
VFS.contentStorage.recordsStored,1778353214990000000,1778353275078000000,223
VFS.fileByIdCache.hits,1778353214990000000,1778353275078000000,8
VFS.contentStorage.recordsRead,1778353214990000000,1778353275078000000,172
VFS.folderCaseSensitivityReads,1778353214990000000,1778353275078000000,2494
VFS.contentStorage.recordsDecompressionTimeUs,1778353214990000000,1778353275078000000,2957
VFS.contentStorage.recordsReadSize,1778353214990000000,1778353275078000000,517545
VFS.invertedFileNameIndex.requests,1778353214990000000,1778353275078000000,79
FileNameCache.totalMisses,1778353214990000000,1778353275078000000,0
FileNameCache.queries,1778353214990000000,1778353275078000000,1600064
VFS.fileByIdCache.misses,1778353214990000000,1778353275078000000,62808
VFS.contentStorage.recordsReadDecompressed,1778353214990000000,1778353275078000000,20
VFS.contentStorage.recordsDeduplicated,1778353214990000000,1778353275078000000,1427
VFS.cache.segments,1778353214990000000,1778353275078000000,25.0
JVM.totalTimeAtSafepointsMs,1778353214990000000,1778353275078000000,40128
JVM.maxHeapBytes,1778353214990000000,1778353275078000000,2147483648
MEM.fileMappingsRamBytes,1778353214990000000,1778353275078000000,487936000
JVM.GC.collectionTimesMs,1778353214990000000,1778353275078000000,395
JVM.usedNativeBytes,1778353214990000000,1778353275078000000,503450408
JVM.totalSafepointCount,1778353214990000000,1778353275078000000,177
JVM.usedHeapBytes,1778353214990000000,1778353275078000000,899403968
MEM.ramMinusFileMappingsBytes,1778353214990000000,1778353275078000000,2228101120
JVM.newThreadsCount,1778353214990000000,1778353275078000000,253
MEM.ramBytes,1778353214990000000,1778353275078000000,2716037120
JVM.maxThreadCount,1778353214990000000,1778353275078000000,183
JVM.totalBytesAllocated,1778353214990000000,1778353275078000000,5599975000
OS.loadAverage,1778353214990000000,1778353275078000000,-1.0
MEM.ramPlusSwapMinusFileMappingsBytes,1778353214990000000,1778353275078000000,2524258304
JVM.GC.collections,1778353214990000000,1778353275078000000,70
JVM.committedHeapBytes,1778353214990000000,1778353275078000000,1108344832
JVM.totalTimeToSafepointsMs,1778353214990000000,1778353275078000000,3637
JVM.totalCpuTimeMs,1778353214990000000,1778353275078000000,105093
JVM.threadCount,1778353214990000000,1778353275078000000,182
JVM.totalDirectByteBuffersBytes,1778353214990000000,1778353275078000000,551673864
FlushQueue.queueSizeMax,1778353214990000000,1778353275078000000,0
FlushQueue.waitingTimeMaxNs,1778353214990000000,1778353275078000000,0
FlushQueue.queueSizeAvg,1778353214990000000,1778353275078000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1778353214990000000,1778353275078000000,254368
NonBlockingReadAction.finalizedExecutionsCount,1778353214990000000,1778353275078000000,148
FlushQueue.executionTime90PNs,1778353214990000000,1778353275078000000,0
NonBlockingReadAction.failedExecutionTimeUs,1778353214990000000,1778353275078000000,207798
ReadAction.executionsCount,1778353214990000000,1778353275078000000,37502
FlushQueue.executionTimeMaxNs,1778353214990000000,1778353275078000000,0
FlushQueue.waitingTime90PNs,1778353214990000000,1778353275078000000,0
NonBlockingReadAction.failedExecutionsCount,1778353214990000000,1778353275078000000,8
FlushQueue.waitingTimeAvgNs,1778353214990000000,1778353275078000000,0.0
FlushQueue.executionTimeAvgNs,1778353214990000000,1778353275078000000,0.0
FlushQueue.tasksExecuted,1778353214990000000,1778353275078000000,0
AWTEventQueue.dispatchTimeMaxNs,1778353214990000000,1778353275078000000,0
AWTEventQueue.eventsDispatched,1778353214990000000,1778353275078000000,0
FlushQueue.queueSize90P,1778353214990000000,1778353275078000000,0
WriteAction.executionsCount,1778353214990000000,1778353275078000000,53
AWTEventQueue.dispatchTimeTotalNS,1778353214990000000,1778353275078000000,9772233900
AWTEventQueue.dispatchTime90PNs,1778353214990000000,1778353275078000000,0
AWTEventQueue.dispatchTimeAvgNs,1778353214990000000,1778353275078000000,0.0
Indexing.writer_4.totalTimeSpentWritingMs,1778353214990000000,1778353275078000000,177
Indexing.writer_2.totalTimeSpentWritingMs,1778353214990000000,1778353275078000000,157
Indexes.allKeys.lookups,1778353214990000000,1778353275078000000,3
Indexes.allKeys.lookupDurationMaxMs,1778353214990000000,1778353275078000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1778353214990000000,1778353275078000000,173
Indexing.writer_0.totalTimeSpentWritingMs,1778353214990000000,1778353275078000000,161
Indexing.cache.totalCacheEvicted,1778353214990000000,1778353275078000000,101773
Indexing.writer_5.totalTimeSpentWritingMs,1778353214990000000,1778353275078000000,201
Indexes.stubs.lookupDuration90PMs,1778353214990000000,1778353275078000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1778353214990000000,1778353275078000000,0.0
Indexing.cache.totalCacheAccesses,1778353214990000000,1778353275078000000,252705
Indexing.writesQueuedMin,1778353214990000000,1778353275078000000,9223372036854775807
Indexes.allKeys.lookupDuration90PMs,1778353214990000000,1778353275078000000,0.0
Indexing.totalTimeIndexersSleptMs,1778353214990000000,1778353275078000000,0
Indexes.entries.lookups,1778353214990000000,1778353275078000000,574
Indexing.writesQueuedMax,1778353214990000000,1778353275078000000,0
Indexes.stubs.lookupDurationAvgMs,1778353214990000000,1778353275078000000,0.0
Indexes.stubs.lookupDurationMaxMs,1778353214990000000,1778353275078000000,0.0
Indexes.entries.lookupDuration90PMs,1778353214990000000,1778353275078000000,0.0
Indexing.cache.totalCacheMisses,1778353214990000000,1778353275078000000,102322
Indexes.stubs.lookups,1778353214990000000,1778353275078000000,2551
Indexes.entries.lookupDurationMaxMs,1778353214990000000,1778353275078000000,0.0
Indexes.entries.lookupDurationAvgMs,1778353214990000000,1778353275078000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1778353214990000000,1778353275078000000,131
lexer.SCSS.size.bytes,1778353214990000000,1778353275078000000,21698
parser.CSS.size.bytes,1778353214990000000,1778353275078000000,6512
writeAction.median.wait.ms,1778353214990000000,1778353275078000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1778353214990000000,1778353275078000000,5078752
LowMemory.gcLoad,1778353214990000000,1778353275078000000,0.0
parser.HTML.size.bytes,1778353214990000000,1778353275078000000,14326
lexer.Markdown.time.ns,1778353214990000000,1778353275078000000,23822400
parser.JSON.size.bytes,1778353214990000000,1778353275078000000,2647
lexer.Markdown.size.bytes,1778353214990000000,1778353275078000000,8075
lexer.TypeScript.size.bytes,1778353214990000000,1778353275078000000,4201132
parser.JSON.time.ns,1778353214990000000,1778353275078000000,20
lexer.JSON.size.bytes,1778353214990000000,1778353275078000000,2647
parser.Markdown.time.ns,1778353214990000000,1778353275078000000,35592600
lexer.JSRegexp.size.bytes,1778353214990000000,1778353275078000000,28
parser.TypeScript.size.bytes,1778353214990000000,1778353275078000000,4201454
parser.SCSS.time.ns,1778353214990000000,1778353275078000000,59658300
parser.JSRegexp.time.ns,1778353214990000000,1778353275078000000,1010600
lexer.ECMAScript.6.size.bytes,1778353214990000000,1778353275078000000,279722
writeAction.count,1778353214990000000,1778353275078000000,53
parser.ECMAScript.6.time.ns,1778353214990000000,1778353275078000000,325458100
parser.Flow.JS.time.ns,1778353214990000000,1778353275078000000,599181000
DiskQueryRelay.tasksRequested,1778353214990000000,1778353275078000000,13482
lexer.TypeScript.time.ns,1778353214990000000,1778353275078000000,133150300
parser.JSRegexp.size.bytes,1778353214990000000,1778353275078000000,28
lexer.HTML.size.bytes,1778353214990000000,1778353275078000000,14326
parser.SCSS.size.bytes,1778353214990000000,1778353275078000000,21698
lexer.JSON.time.ns,1778353214990000000,1778353275078000000,7450100
parser.CSS.time.ns,1778353214990000000,1778353275078000000,7953000
lexer.HTML.time.ns,1778353214990000000,1778353275078000000,12090100
lexer.SCSS.time.ns,1778353214990000000,1778353275078000000,165326700
lexer.Flow.JS.time.ns,1778353214990000000,1778353275078000000,87919800
lexer.JSRegexp.time.ns,1778353214990000000,1778353275078000000,172500
parser.HTML.time.ns,1778353214990000000,1778353275078000000,13373000
parser.Flow.JS.size.bytes,1778353214990000000,1778353275078000000,140172
lexer.ECMAScript.6.time.ns,1778353214990000000,1778353275078000000,144279400
DiskQueryRelay.taskExecutionTotalTimeUs,1778353214990000000,1778353275078000000,2853484
lexer.Flow.JS.size.bytes,1778353214990000000,1778353275078000000,140172
parser.Markdown.size.bytes,1778353214990000000,1778353275078000000,8075
lexer.CSS.time.ns,1778353214990000000,1778353275078000000,2026400
DiskQueryRelay.tasksExecuted,1778353214990000000,1778353275078000000,6437
parser.TypeScript.time.ns,1778353214990000000,1778353275078000000,502230600
writeAction.max.wait.ms,1778353214990000000,1778353275078000000,20
writeAction.wait.ms,1778353214990000000,1778353275078000000,63
lexer.CSS.size.bytes,1778353214990000000,1778353275078000000,6512
LowMemory.gcOverloaded,1778353214990000000,1778353275078000000,0
parser.ECMAScript.6.size.bytes,1778353214990000000,1778353275078000000,701097
workspaceModel.cachedValueWithParameters.calculated.count,1778353214990000000,1778353275078000000,0
workspaceModel.to.snapshot.ms,1778353214990000000,1778353275078000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1778353214990000000,1778353275078000000,0
workspaceModel.collect.changes.ms,1778353214990000000,1778353275078000000,0
workspaceModel.loading.total.ms,1778353214990000000,1778353275078000000,23
workspaceModel.workspaceFileIndexData.processFileSets.ms,1778353214990000000,1778353275078000000,0
workspaceModel.replace.project.model.ms,1778353214990000000,1778353275078000000,10
workspaceModel.cachedValue.total.get.count,1778353214990000000,1778353275078000000,260
workspaceModel.loading.from.cache.ms,1778353214990000000,1778353275078000000,19
workspaceModel.entityStorageSnapshotImpl.instances.count,1778353214990000000,1778353275078000000,60
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1778353214990000000,1778353275078000000,103
workspaceModel.initializing.ms,1778353214990000000,1778353275078000000,2
workspaceModel.workspaceFileIndexData.getPackageName.ms,1778353214990000000,1778353275078000000,0
workspaceModel.workspaceFileIndexData.instances.count,1778353214990000000,1778353275078000000,2
workspaceModel.check.recursive.update.ms,1778353214990000000,1778353275078000000,2
workspaceModel.updates.precise.ms,1778353214990000000,1778353275078000000,4
workspaceModel.cachedValue.from.cache.count,1778353214990000000,1778353275078000000,219
workspaceModel.updates.count,1778353214990000000,1778353275078000000,10
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1778353214990000000,1778353275078000000,18
workspaceModel.full.replace.project.model.ms,1778353214990000000,1778353275078000000,26
workspaceModel.on.before.changed.ms,1778353214990000000,1778353275078000000,30
workspaceModel.init.bridges.ms,1778353214990000000,1778353275078000000,5
workspaceModel.cachedValue.calculated.count,1778353214990000000,1778353275078000000,41
workspaceModel.cachedValueWithParameters.clear.count,1778353214990000000,1778353275078000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1778353214990000000,1778353275078000000,0
workspaceModel.on.changed.ms,1778353214990000000,1778353275078000000,35
workspaceModel.pre.handlers.ms,1778353214990000000,1778353275078000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1778353214990000000,1778353275078000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1778353214990000000,1778353275078000000,176
workspaceModel.update.unloaded.entities.ms,1778353214990000000,1778353275078000000,0
workspaceModel.workspaceFileIndexData.init.ms,1778353214990000000,1778353275078000000,5
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1778353214990000000,1778353275078000000,13
workspaceModel.cachedValue.clear.count,1778353214990000000,1778353275078000000,2
workspaceModel.cachedValueWithParameters.total.get.count,1778353214990000000,1778353275078000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1778353214990000000,1778353275078000000,0
workspaceModel.updates.ms,1778353214990000000,1778353275078000000,61
cacheStateStorage.get.counter,1778353275078000000,1778353335016000000,41
cacheStateStorage.set.counter,1778353275078000000,1778353335016000000,13
cacheStateStorage.set.duration,1778353275078000000,1778353335016000000,2
cacheStateStorage.get.duration,1778353275078000000,1778353335016000000,15
jps.modifiable.module.model.bridge.disposing.ms,1778353275078000000,1778353335016000000,0
jps.library.entities.serializer.load.entities.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1778353275078000000,1778353335016000000,0
jps.load.initial.state.ms,1778353275078000000,1778353335016000000,0
workspaceModel.global.updates.ms,1778353275078000000,1778353335016000000,2
workspaceModel.moduleManagerBridge.build.module.graph.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1778353275078000000,1778353335016000000,0
jps.facet.change.listener.init.bridge.ms,1778353275078000000,1778353335016000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1778353275078000000,1778353335016000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1778353275078000000,1778353335016000000,1
jps.global.get.library.ms,1778353275078000000,1778353335016000000,0
jps.save.changed.project.entities.ms,1778353275078000000,1778353335016000000,2
